I,Time,AltitudeM,DistanceM,HeartRate,Speed,RunCadence,time,atemp,cad,hr,lat,lon
75,2020-05-17T19:28:46.000Z,67.19999694824219,538.4500122070312,140,2.4820001125335693,97,2020-05-17T19:28:39.000Z,24,98,143,43.71620784513652324676513671875,-79.359003268182277679443359375
76,2020-05-17T19:28:54.000Z,67.4000015258789,561.219970703125,139,2.500999927520752,97,2020-05-17T19:28:46.000Z,24,97,140,43.71622209437191486358642578125,-79.35872155241668224334716796875
77,2020-05-17T19:29:03.000Z,67.19999694824219,581.7000122070312,139,2.509999990463257,97,2020-05-17T19:28:54.000Z,24,97,139,43.71624070219695568084716796875,-79.358474873006343841552734375
78,2020-05-17T19:29:15.000Z,66.5999984741211,602.8099975585938,140,2.127000093460083,95,2020-05-17T19:29:03.000Z,24,97,139,43.71623567305505275726318359375,-79.358195923268795013427734375
79,2020-05-17T19:29:18.000Z,66.80000305175781,605.3200073242188,143,2.00600004196167,95,2020-05-17T19:29:15.000Z,23,95,140,43.71625562198460102081298828125,-79.35814605094492435455322265625
80,2020-05-17T19:29:25.000Z,66,616.27001953125,142,1.6610000133514404,96,2020-05-17T19:29:18.000Z,23,95,143,43.71622435748577117919921875,-79.35801462270319461822509765625
81,2020-05-17T19:29:34.000Z,66.19999694824219,635.469970703125,140,1.9780000448226929,92,2020-05-17T19:29:25.000Z,23,96,142,43.71624120511114597320556640625,-79.3577630817890167236328125
82,2020-05-17T19:31:40.000Z,66.4000015258789,635.469970703125,88,0,0,2020-05-17T19:29:34.000Z,23,92,140,43.7160669453442096710205078125,-79.35724985785782337188720703125
83,2020-05-17T19:31:44.000Z,66.5999984741211,643.0999755859375,83,1.2130000591278076,0,2020-05-17T19:31:40.000Z,23,0,88,43.7160599045455455780029296875,-79.3571555614471435546875
84,2020-05-17T19:31:45.000Z,66.5999984741211,645.7999877929688,79,2.4260001182556152,92,2020-05-17T19:31:44.000Z,23,0,83,43.71606049127876758575439453125,-79.35712211765348911285400390625
85,2020-05-17T19:31:46.000Z,66.5999984741211,648.4299926757812,75,2.7899999618530273,98,2020-05-17T19:31:45.000Z,23,92,79,43.7160587310791015625,-79.357089512050151824951171875
86,2020-05-17T19:31:47.000Z,66.5999984741211,650.8599853515625,76,2.7899999618530273,98,2020-05-17T19:31:46.000Z,23,98,75,43.71605613268911838531494140625,-79.3570595048367977142333984375
87,2020-05-17T19:31:48.000Z,66.5999984741211,653.3200073242188,80,2.7809998989105225,100,2020-05-17T19:31:47.000Z,23,98,76,43.71605671942234039306640625,-79.35702882707118988037109375
88,2020-05-17T19:31:50.000Z,66.5999984741211,658.6400146484375,87,2.7249999046325684,102,2020-05-17T19:31:48.000Z,23,100,80,43.7160555459558963775634765625,-79.3569629453122615814208984375
89,2020-05-17T19:31:51.000Z,66.4000015258789,661.260009765625,92,2.7249999046325684,102,2020-05-17T19:31:50.000Z,23,102,87,43.71604842133820056915283203125,-79.35693151317536830902099609375
90,2020-05-17T19:31:52.000Z,66.4000015258789,664.239990234375,98,2.7249999046325684,102,2020-05-17T19:31:51.000Z,23,102,92,43.71604330837726593017578125,-79.3568952195346355438232421875
91,2020-05-17T19:31:53.000Z,66.4000015258789,667.5999755859375,103,2.9210000038146973,103,2020-05-17T19:31:52.000Z,23,102,98,43.71603718958795070648193359375,-79.3568543158471584320068359375
92,2020-05-17T19:31:54.000Z,66.19999694824219,670.8599853515625,107,3.1070001125335693,104,2020-05-17T19:31:53.000Z,23,103,103,43.7160357646644115447998046875,-79.356813915073871612548828125
93,2020-05-17T19:31:55.000Z,66.19999694824219,673.8599853515625,112,3.115999937057495,104,2020-05-17T19:31:54.000Z,23,104,107,43.7160350941121578216552734375,-79.35677669942378997802734375
94,2020-05-17T19:31:56.000Z,66.19999694824219,676.7000122070312,116,3.115999937057495,104,2020-05-17T19:31:55.000Z,23,104,112,43.716035597026348114013671875,-79.35674141161143779754638671875
95,2020-05-17T19:31:57.000Z,66.19999694824219,679.739990234375,120,3.0230000019073486,104,2020-05-17T19:31:56.000Z,23,104,116,43.71603928506374359130859375,-79.35670402832329273223876953125
96,2020-05-17T19:31:58.000Z,66.19999694824219,682.8900146484375,119,3.0139999389648438,104,2020-05-17T19:31:57.000Z,23,104,120,43.7160485051572322845458984375,-79.3566665612161159515380859375
97,2020-05-17T19:32:00.000Z,66,688.3800048828125,124,2.9760000705718994,104,2020-05-17T19:31:58.000Z,23,104,119,43.71606669388711452484130859375,-79.3566035293042659759521484375
98,2020-05-17T19:32:02.000Z,66,694.3300170898438,128,2.9760000705718994,102,2020-05-17T19:32:00.000Z,23,104,124,43.71608513407409191131591796875,-79.35653421096503734588623046875
99,2020-05-17T19:32:05.000Z,65.4000015258789,702.1599731445312,134,2.938999891281128,102,2020-05-17T19:32:02.000Z,23,102,128,43.71608915738761425018310546875,-79.35643748380243778228759765625
100,2020-05-17T19:32:08.000Z,65.19999694824219,709.6300048828125,131,2.8459999561309814,103,2020-05-17T19:32:05.000Z,23,102,134,43.71610759757459163665771484375,-79.35634830035269260406494140625
101,2020-05-17T19:32:10.000Z,65.19999694824219,714.9199829101562,135,2.8369998931884766,103,2020-05-17T19:32:08.000Z,23,103,131,43.71612352319061756134033203125,-79.356286190450191497802734375
102,2020-05-17T19:32:16.000Z,65.4000015258789,732.1400146484375,130,2.818000078201294,102,2020-05-17T19:32:10.000Z,23,103,135,43.71615336276590824127197265625,-79.35607798397541046142578125
103,2020-05-17T19:32:19.000Z,65.80000305175781,740.6900024414062,135,2.818000078201294,104,2020-05-17T19:32:16.000Z,23,102,130,43.7161614932119846343994140625,-79.3559722043573856353759765625
104,2020-05-17T19:32:20.000Z,65.80000305175781,743.9299926757812,138,2.8269999027252197,104,2020-05-17T19:32:19.000Z,23,104,135,43.71616945601999759674072265625,-79.35593356378376483917236328125
105,2020-05-17T19:32:21.000Z,65.80000305175781,746.5700073242188,143,2.8269999027252197,104,2020-05-17T19:32:20.000Z,23,104,138,43.71617666445672512054443359375,-79.35590229928493499755859375
106,2020-05-17T19:32:22.000Z,66,750.75,146,2.8369998931884766,102,2020-05-17T19:32:21.000Z,23,104,143,43.71619426645338535308837890625,-79.35585594736039638519287109375
107,2020-05-17T19:32:23.000Z,66,754.739990234375,151,2.8550000190734863,102,2020-05-17T19:32:22.000Z,23,102,146,43.7162196636199951171875,-79.3558196537196636199951171875
108,2020-05-17T19:32:24.000Z,66,758.6199951171875,150,2.882999897003174,102,2020-05-17T19:32:23.000Z,23,102,151,43.7162396125495433807373046875,-79.35577933676540851593017578125
109,2020-05-17T19:32:28.000Z,66.4000015258789,774.739990234375,142,3.003999948501587,102,2020-05-17T19:32:24.000Z,23,102,150,43.71629384346306324005126953125,-79.35559476725757122039794921875
110,2020-05-17T19:32:29.000Z,66.4000015258789,778.4000244140625,138,3.0230000019073486,102,2020-05-17T19:32:28.000Z,23,102,142,43.71630189009010791778564453125,-79.35555067844688892364501953125
111,2020-05-17T19:32:30.000Z,66.4000015258789,781.6500244140625,135,3.0510001182556152,102,2020-05-17T19:32:29.000Z,23,102,138,43.716307170689105987548828125,-79.35551094822585582733154296875
112,2020-05-17T19:32:32.000Z,66.19999694824219,789.2000122070312,139,3.1070001125335693,98,2020-05-17T19:32:30.000Z,23,102,135,43.71632619760930538177490234375,-79.3554213456809520721435546875
113,2020-05-17T19:32:35.000Z,66,799.5900268554688,142,3.1630001068115234,99,2020-05-17T19:32:32.000Z,23,98,139,43.716370873153209686279296875,-79.35530860908329486846923828125
114,2020-05-17T19:32:37.000Z,66,803.219970703125,141,3.0420000553131104,98,2020-05-17T19:32:35.000Z,23,99,142,43.7163981981575489044189453125,-79.3552874028682708740234375
115,2020-05-17T19:32:40.000Z,65.80000305175781,813.7899780273438,138,3.2750000953674316,98,2020-05-17T19:32:37.000Z,23,98,141,43.716492243111133575439453125,-79.355304501950740814208984375
116,2020-05-17T19:32:41.000Z,65.80000305175781,817.4500122070312,133,3.2839999198913574,98,2020-05-17T19:32:40.000Z,23,98,138,43.71652417816221714019775390625,-79.35531598515808582305908203125
117,2020-05-17T19:32:42.000Z,65.80000305175781,820.3200073242188,133,3.2839999198913574,98,2020-05-17T19:32:41.000Z,23,98,133,43.7165487371385097503662109375,-79.35532671399414539337158203125
118,2020-05-17T19:32:43.000Z,65.80000305175781,823.97998046875,136,3.0880000591278076,99,2020-05-17T19:32:42.000Z,23,98,133,43.71657933108508586883544921875,-79.3553462438285350799560546875
119,2020-05-17T19:32:45.000Z,65.80000305175781,829.0499877929688,143,2.9110000133514404,100,2020-05-17T19:32:43.000Z,23,99,136,43.716624677181243896484375,-79.3553542904555797576904296875
120,2020-05-17T19:32:47.000Z,66,834.969970703125,147,2.809000015258789,98,2020-05-17T19:32:45.000Z,23,100,143,43.71667605824768543243408203125,-79.35537449084222316741943359375
121,2020-05-17T19:32:49.000Z,66,844.1699829101562,143,2.874000072479248,98,2020-05-17T19:32:47.000Z,23,98,147,43.71675484813749790191650390625,-79.355412460863590240478515625
122,2020-05-17T19:32:51.000Z,66.19999694824219,852.0499877929688,140,2.9860000610351562,98,2020-05-17T19:32:49.000Z,23,98,143,43.71682290919125080108642578125,-79.35544070787727832794189453125
123,2020-05-17T19:32:53.000Z,66.5999984741211,859.5,134,3.1540000438690186,97,2020-05-17T19:32:51.000Z,23,98,140,43.71688845567405223846435546875,-79.355460070073604583740234375
124,2020-05-17T19:32:54.000Z,66.5999984741211,863.6699829101562,134,3.171999931335449,97,2020-05-17T19:32:53.000Z,22,97,134,43.71692533604800701141357421875,-79.3554702959954738616943359375
125,2020-05-17T19:32:58.000Z,66.80000305175781,876.6300048828125,137,3.1540000438690186,97,2020-05-17T19:32:54.000Z,22,97,134,43.7170187942683696746826171875,-79.35556056909263134002685546875
126,2020-05-17T19:33:05.000Z,66.5999984741211,893.4299926757812,140,2.7899999618530273,96,2020-05-17T19:32:58.000Z,22,97,137,43.71701334603130817413330078125,-79.3557660095393657684326171875
127,2020-05-17T19:33:07.000Z,66.5999984741211,897.239990234375,141,2.7249999046325684,96,2020-05-17T19:33:05.000Z,22,96,140,43.71701284311711788177490234375,-79.35581303201615810394287109375
128,2020-05-17T19:33:17.000Z,66.5999984741211,918.5700073242188,140,2.4070000648498535,96,2020-05-17T19:33:07.000Z,22,96,141,43.71696204878389835357666015625,-79.35606935061514377593994140625
129,2020-05-17T19:33:26.000Z,66.4000015258789,941.5999755859375,141,2.434999942779541,94,2020-05-17T19:33:17.000Z,22,96,140,43.716918043792247772216796875,-79.356350563466548919677734375
130,2020-05-17T19:33:35.000Z,66.4000015258789,963.4600219726562,141,2.434999942779541,98,2020-05-17T19:33:26.000Z,22,94,141,43.71688242070376873016357421875,-79.3566176109015941619873046875
131,2020-05-17T19:33:43.000Z,66.19999694824219,985.3200073242188,140,2.5190000534057617,96,2020-05-17T19:33:35.000Z,22,98,141,43.7168722786009311676025390625,-79.35688692145049571990966796875
132,2020-05-17T19:33:49.000Z,66.4000015258789,1000.6099853515625,140,2.4730000495910645,97,2020-05-17T19:33:43.000Z,22,96,140,43.716876469552516937255859375,-79.35707584954798221588134765625
133,2020-05-17T19:33:51.000Z,66.4000015258789,1006.2999877929688,141,2.5380001068115234,97,2020-05-17T19:33:49.000Z,22,97,140,43.7168861925601959228515625,-79.35714282095432281494140625
134,2020-05-17T19:33:58.000Z,66.5999984741211,1027.3499755859375,142,2.621999979019165,96,2020-05-17T19:33:51.000Z,22,97,141,43.716976381838321685791015625,-79.3573716469109058380126953125
135,2020-05-17T19:34:05.000Z,66.4000015258789,1050.3399658203125,141,2.7809998989105225,95,2020-05-17T19:33:58.000Z,22,96,142,43.7170493043959140777587890625,-79.35763592831790447235107421875
136,2020-05-17T19:34:11.000Z,66.4000015258789,1070.8299560546875,139,2.9210000038146973,91,2020-05-17T19:34:05.000Z,22,95,141,43.71709699742496013641357421875,-79.35788151808083057403564453125
137,2020-05-17T19:34:18.000Z,67,1091.27001953125,138,2.9210000038146973,92,2020-05-17T19:34:11.000Z,22,91,139,43.7171351350843906402587890625,-79.35812911950051784515380859375
138,2020-05-17T19:34:20.000Z,67,1096.7099609375,139,2.874000072479248,92,2020-05-17T19:34:18.000Z,22,92,138,43.717144690454006195068359375,-79.358195252716541290283203125
139,2020-05-17T19:34:27.000Z,66.5999984741211,1116.8199462890625,137,2.7809998989105225,93,2020-05-17T19:34:20.000Z,22,92,139,43.717182241380214691162109375,-79.3584398366510868072509765625
140,2020-05-17T19:34:30.000Z,66.5999984741211,1126.4000244140625,133,2.818000078201294,93,2020-05-17T19:34:27.000Z,22,93,137,43.71719137765467166900634765625,-79.3585578538477420806884765625
141,2020-05-17T19:34:39.000Z,66.5999984741211,1147.5,134,2.7149999141693115,92,2020-05-17T19:34:30.000Z,22,93,133,43.7172263301908969879150390625,-79.3588072992861270904541015625
142,2020-05-17T19:34:43.000Z,66.5999984741211,1157.8199462890625,137,2.6689999103546143,92,2020-05-17T19:34:39.000Z,22,92,134,43.7172789685428142547607421875,-79.35891198925673961639404296875
143,2020-05-17T19:34:49.000Z,66.80000305175781,1174.2099609375,143,2.6500000953674316,92,2020-05-17T19:34:43.000Z,22,92,137,43.7173691578209400177001953125,-79.359073005616664886474609375
144,2020-05-17T19:34:57.000Z,67.19999694824219,1195.97998046875,143,2.6589999198913574,92,2020-05-17T19:34:49.000Z,22,92,143,43.71751642785966396331787109375,-79.35925531201064586639404296875
