I,time,atemp,cad,hr,lat,lon
82,2020-05-31T17:47:10.000Z,23.0,90,134,43.7181443162262439727783203125,-79.35929395258426666259765625
83,2020-05-31T17:47:13.000Z,23.0,89,135,43.71818714775145053863525390625,-79.35925371944904327392578125
84,2020-05-31T17:47:15.000Z,23.0,91,136,43.71836450882256031036376953125,-79.35913075692951679229736328125
85,2020-05-31T17:47:21.000Z,23.0,91,133,43.7185464799404144287109375,-79.35901391319930553436279296875
86,2020-05-31T17:47:28.000Z,23.0,91,134,43.718600459396839141845703125,-79.35897200368344783782958984375
87,2020-05-31T17:47:31.000Z,23.0,88,134,43.71879718266427516937255859375,-79.35891752131283283233642578125
88,2020-05-31T17:47:38.000Z,23.0,90,132,43.7190024554729461669921875,-79.35887561179697513580322265625
89,2020-05-31T17:47:44.000Z,23.0,90,132,43.7190509028732776641845703125,-79.3588599376380443572998046875
90,2020-05-31T17:47:46.000Z,23.0,92,133,43.71911284513771533966064453125,-79.35882716439664363861083984375
91,2020-05-31T17:47:49.000Z,23.0,91,134,43.71913145296275615692138671875,-79.3588186986744403839111328125
92,2020-05-31T17:47:50.000Z,23.0,91,134,43.71918442659080028533935546875,-79.3587871827185153961181640625
93,2020-05-31T17:47:53.000Z,23.0,91,137,43.71924175880849361419677734375,-79.35875072143971920013427734375
94,2020-05-31T17:47:56.000Z,23.0,94,138,43.71937318705022335052490234375,-79.3586430139839649200439453125
95,2020-05-31T17:48:01.000Z,23.0,94,135,43.7194528989493846893310546875,-79.3584492243826389312744140625
96,2020-05-31T17:48:09.000Z,23.0,89,138,43.7194730155169963836669921875,-79.3583536706864833831787109375
97,2020-05-31T17:48:13.000Z,23.0,88,138,43.7195236422121524810791015625,-79.35823657549917697906494140625
98,2020-05-31T17:48:17.000Z,23.0,89,137,43.7195337004959583282470703125,-79.35820774175226688385009765625
99,2020-05-31T17:48:18.000Z,23.0,89,137,43.719531856477260589599609375,-79.35817773453891277313232421875
100,2020-05-31T17:48:19.000Z,23.0,89,137,43.71952481567859649658203125,-79.358093999326229095458984375
101,2020-05-31T17:48:22.000Z,23.0,90,138,43.7195035256445407867431640625,-79.35800188221037387847900390625
102,2020-05-31T17:48:26.000Z,23.0,95,137,43.71945717372000217437744140625,-79.357892833650112152099609375
103,2020-05-31T17:48:32.000Z,23.0,90,137,43.71927696280181407928466796875,-79.3577764928340911865234375
104,2020-05-31T17:48:42.000Z,22.0,87,136,43.7191605381667613983154296875,-79.3576593138277530670166015625
105,2020-05-31T17:48:48.000Z,22.0,89,135,43.71910010464489459991455078125,-79.35760072432458400726318359375
106,2020-05-31T17:48:52.000Z,22.0,90,138,43.71894621290266513824462890625,-79.3574331700801849365234375
107,2020-05-31T17:49:01.000Z,22.0,89,137,43.7188232503831386566162109375,-79.35723510570824146270751953125
108,2020-05-31T17:49:09.000Z,22.0,90,137,43.7187307141721248626708984375,-79.35701516456902027130126953125
