I,time,atemp,cad,hr,lat,lon
285,2020-05-28T01:26:45.000Z,25.0,84,130,43.72519659809768199920654296875,-79.3613946251571178436279296875
286,2020-05-28T01:26:53.000Z,25.0,82,130,43.7251368351280689239501953125,-79.36115046031773090362548828125
287,2020-05-28T01:27:02.000Z,25.0,81,128,43.7250937521457672119140625,-79.3610680662095546722412109375
288,2020-05-28T01:27:05.000Z,25.0,81,125,43.72494581155478954315185546875,-79.36105591244995594024658203125
289,2020-05-28T01:27:12.000Z,25.0,82,124,43.72486886568367481231689453125,-79.36107502318918704986572265625
290,2020-05-28T01:27:16.000Z,25.0,82,127,43.72466434724628925323486328125,-79.3610207922756671905517578125
291,2020-05-28T01:27:27.000Z,25.0,81,128,43.724485896527767181396484375,-79.360957928001880645751953125
292,2020-05-28T01:27:35.000Z,25.0,83,127,43.72429554350674152374267578125,-79.360890872776508331298828125
293,2020-05-28T01:27:43.000Z,25.0,81,130,43.724231421947479248046875,-79.36086463741958141326904296875
294,2020-05-28T01:27:45.000Z,25.0,82,127,43.72412270866334438323974609375,-79.360821135342121124267578125
295,2020-05-28T01:27:49.000Z,25.0,82,127,43.7239764444530010223388671875,-79.36077746562659740447998046875
296,2020-05-28T01:27:55.000Z,25.0,83,127,43.7238322757184505462646484375,-79.3607931397855281829833984375
297,2020-05-28T01:28:01.000Z,25.0,82,130,43.7237658910453319549560546875,-79.36080814339220523834228515625
298,2020-05-28T01:28:04.000Z,25.0,81,129,43.7235809862613677978515625,-79.36080663464963436126708984375
299,2020-05-28T01:28:12.000Z,25.0,82,128,43.7233826704323291778564453125,-79.3607726879417896270751953125
300,2020-05-28T01:28:20.000Z,25.0,81,130,43.72330807149410247802734375,-79.36075584031641483306884765625
301,2020-05-28T01:28:23.000Z,25.0,81,129,43.72311704792082309722900390625,-79.3607485480606555938720703125
302,2020-05-28T01:28:32.000Z,25.0,81,128,43.72291873209178447723388671875,-79.36076154001057147979736328125
303,2020-05-28T01:28:41.000Z,25.0,82,127,43.7227432988584041595458984375,-79.36083697713911533355712890625
304,2020-05-28T01:28:49.000Z,25.0,81,127,43.7226261198520660400390625,-79.3609138391911983489990234375
305,2020-05-28T01:28:55.000Z,25.0,81,130,43.72243945486843585968017578125,-79.36100176535546779632568359375
306,2020-05-28T01:29:04.000Z,25.0,81,129,43.72237692587077617645263671875,-79.36106530018150806427001953125
307,2020-05-28T01:29:08.000Z,25.0,81,128,43.72225136496126651763916015625,-79.36122019775211811065673828125
308,2020-05-28T01:29:16.000Z,25.0,79,130,43.72216402553021907806396484375,-79.36143837869167327880859375
309,2020-05-28T01:29:25.000Z,25.0,81,130,43.7220574915409088134765625,-79.36166879720985889434814453125
310,2020-05-28T01:29:34.000Z,25.0,80,129,43.722026310861110687255859375,-79.36178304255008697509765625
311,2020-05-28T01:29:38.000Z,25.0,80,126,43.7218645401298999786376953125,-79.36190734617412090301513671875
312,2020-05-28T01:29:46.000Z,25.0,80,125,43.72176068834960460662841796875,-79.36192494817078113555908203125
313,2020-05-28T01:29:51.000Z,25.0,80,128,43.72156706638634204864501953125,-79.3618328310549259185791015625
314,2020-05-28T01:30:00.000Z,25.0,81,130,43.72139029204845428466796875,-79.36174842528998851776123046875
315,2020-05-28T01:30:08.000Z,25.0,81,132,43.72137394733726978302001953125,-79.36173970811069011688232421875
316,2020-05-28T01:30:09.000Z,25.0,79,132,43.7212623842060565948486328125,-79.3615418113768100738525390625
317,2020-05-28T01:30:18.000Z,25.0,81,130,43.72123606503009796142578125,-79.36126805841922760009765625
318,2020-05-28T01:30:26.000Z,25.0,81,129,43.721243441104888916015625,-79.3610093928873538970947265625
319,2020-05-28T01:30:34.000Z,25.0,81,131,43.7213136814534664154052734375,-79.3607602827250957489013671875
320,2020-05-28T01:30:43.000Z,25.0,81,130,43.72141250409185886383056640625,-79.360516369342803955078125
321,2020-05-28T01:30:52.000Z,25.0,81,130,43.72146681882441043853759765625,-79.36025577597320079803466796875
322,2020-05-28T01:31:01.000Z,25.0,83,130,43.72149221599102020263671875,-79.35999258421361446380615234375
323,2020-05-28T01:31:11.000Z,25.0,80,129,43.72153638862073421478271484375,-79.3597215972840785980224609375
324,2020-05-28T01:31:20.000Z,25.0,79,130,43.72156287543475627899169921875,-79.35959226451814174652099609375
325,2020-05-28T01:31:25.000Z,25.0,81,130,43.72157494537532329559326171875,-79.3593430705368518829345703125
326,2020-05-28T01:31:34.000Z,25.0,81,132,43.72165675275027751922607421875,-79.35910862870514392852783203125
327,2020-05-28T01:31:42.000Z,25.0,79,132,43.72174560092389583587646484375,-79.35887309722602367401123046875
328,2020-05-28T01:31:50.000Z,25.0,81,130,43.72180796228349208831787109375,-79.358735047280788421630859375
329,2020-05-28T01:31:55.000Z,25.0,81,129,43.72192002832889556884765625,-79.3585169501602649688720703125
330,2020-05-28T01:32:03.000Z,25.0,81,128,43.722000829875469207763671875,-79.35828971676528453826904296875
331,2020-05-28T01:32:11.000Z,25.0,81,128,43.72207266278564929962158203125,-79.35805250890552997589111328125
332,2020-05-28T01:32:19.000Z,25.0,80,128,43.72212412767112255096435546875,-79.35780608095228672027587890625
333,2020-05-28T01:32:28.000Z,25.0,81,127,43.72215782292187213897705078125,-79.35755479149520397186279296875
334,2020-05-28T01:32:36.000Z,25.0,84,129,43.722206689417362213134765625,-79.357369802892208099365234375
335,2020-05-28T01:32:42.000Z,25.0,81,132,43.72223250567913055419921875,-79.3571040965616703033447265625
336,2020-05-28T01:32:51.000Z,25.0,81,131,43.722291179001331329345703125,-79.3568368814885616302490234375
337,2020-05-28T01:33:00.000Z,25.0,80,129,43.722285814583301544189453125,-79.3566846661269664764404296875
338,2020-05-28T01:33:05.000Z,25.0,80,132,43.72227164916694164276123046875,-79.3564083985984325408935546875
339,2020-05-28T01:33:14.000Z,25.0,81,132,43.72229713015258312225341796875,-79.35618166811764240264892578125
340,2020-05-28T01:33:22.000Z,25.0,81,129,43.72230433858931064605712890625,-79.35615149326622486114501953125
341,2020-05-28T01:33:23.000Z,25.0,81,130,43.7223553843796253204345703125,-79.35589215718209743499755859375
342,2020-05-28T01:33:32.000Z,25.0,80,129,43.72241196222603321075439453125,-79.355650506913661956787109375
343,2020-05-28T01:33:40.000Z,25.0,80,128,43.72244230471551418304443359375,-79.35546183027327060699462890625
344,2020-05-28T01:33:46.000Z,25.0,81,131,43.722449429333209991455078125,-79.35520500876009464263916015625
345,2020-05-28T01:33:54.000Z,25.0,81,132,43.72244708240032196044921875,-79.35514616779983043670654296875
346,2020-05-28T01:33:56.000Z,25.0,82,130,43.72247952036559581756591796875,-79.35488976538181304931640625
347,2020-05-28T01:34:04.000Z,25.0,81,131,43.7224864773452281951904296875,-79.35483553446829319000244140625
348,2020-05-28T01:34:06.000Z,25.0,81,128,43.72254456393420696258544921875,-79.3545915372669696807861328125
349,2020-05-28T01:34:15.000Z,25.0,81,130,43.72260407544672489166259765625,-79.35449237935245037078857421875
350,2020-05-28T01:34:19.000Z,25.0,81,133,43.7226148881018161773681640625,-79.35446262359619140625
351,2020-05-28T01:34:20.000Z,25.0,81,133,43.7226812727749347686767578125,-79.35420337133109569549560546875
352,2020-05-28T01:34:29.000Z,25.0,81,133,43.72278638184070587158203125,-79.35397605411708354949951171875
353,2020-05-28T01:34:38.000Z,25.0,79,131,43.72295075096189975738525390625,-79.35387195087969303131103515625
354,2020-05-28T01:34:47.000Z,25.0,80,131,43.72315174899995326995849609375,-79.353909753262996673583984375
355,2020-05-28T01:34:56.000Z,25.0,80,131,43.7233333848416805267333984375,-79.35392810963094234466552734375
356,2020-05-28T01:35:04.000Z,25.0,80,131,43.72335442341864109039306640625,-79.35392861254513263702392578125
357,2020-05-28T01:35:05.000Z,25.0,80,131,43.7235402502119541168212890625,-79.35397437773644924163818359375
358,2020-05-28T01:35:14.000Z,25.0,80,130,43.723604790866374969482421875,-79.3539923988282680511474609375
359,2020-05-28T01:35:17.000Z,25.0,81,133,43.72373982332646846771240234375,-79.35401159338653087615966796875
360,2020-05-28T01:35:23.000Z,25.0,79,129,43.72380117885768413543701171875,-79.3540379963815212249755859375
361,2020-05-28T01:35:26.000Z,25.0,80,132,43.72383889742195606231689453125,-79.35404352843761444091796875
362,2020-05-28T01:35:28.000Z,25.0,80,129,43.723857589066028594970703125,-79.35404713265597820281982421875
363,2020-05-28T01:35:29.000Z,25.0,80,134,43.7240548990666866302490234375,-79.3540825881063938140869140625
364,2020-05-28T01:35:38.000Z,25.0,80,133,43.7241940386593341827392578125,-79.35413614846765995025634765625
365,2020-05-28T01:35:45.000Z,25.0,80,132,43.7243774347007274627685546875,-79.35418526642024517059326171875
