I,Time,AltitudeM,DistanceM,hr,Speed,RunCadence,lat,lon
54,2020-05-03T17:46:47.000Z,-4.800000190734863,265.54998779296875,118,1.5399999618530273,0,43.7162446416914463043212890625,-79.35562829487025737762451171875
55,2020-05-03T17:46:48.000Z,-4.800000190734863,267.0899963378906,113,1.5399999618530273,0,43.71625008992850780487060546875,-79.35545931570231914520263671875
56,2020-05-03T17:46:49.000Z,-4.800000190734863,268.6300048828125,109,1.5399999618530273,0,43.716360814869403839111328125,-79.35530458576977252960205078125
57,2020-05-03T17:46:52.000Z,-4.800000190734863,273.25,105,1.5399999618530273,0,43.71652116067707538604736328125,-79.35529218055307865142822265625
58,2020-05-03T17:46:55.000Z,-4.800000190734863,277.8699951171875,102,1.5399999618530273,0,43.7167006172239780426025390625,-79.35534968040883541107177734375
59,2020-05-03T17:46:57.000Z,-5,280.95001220703125,97,1.5399999618530273,0,43.7168300338089466094970703125,-79.35540181584656238555908203125
60,2020-05-03T17:46:59.000Z,-4.800000190734863,284.0299987792969,93,1.5399999618530273,0,43.71697671711444854736328125,-79.3555293045938014984130859375
61,2020-05-03T17:47:04.000Z,-4.599999904632568,291.7300109863281,90,1.5399999618530273,0,43.71700529940426349639892578125,-79.35578520409762859344482421875
62,2020-05-03T17:47:13.000Z,-4,305.3800048828125,87,1.5019999742507935,0,43.716961629688739776611328125,-79.35602970421314239501953125
63,2020-05-03T17:47:25.000Z,-4,323.3699951171875,90,1.465000033378601,59,43.71694779954850673675537109375,-79.35622056014835834503173828125
64,2020-05-03T17:47:26.000Z,-3.799999952316284,324.8299865722656,93,1.4559999704360962,60,43.7169497273862361907958984375,-79.35641862452030181884765625
65,2020-05-03T17:47:28.000Z,-4,327.7200012207031,90,1.437000036239624,60,43.716945536434650421142578125,-79.35648391954600811004638671875
66,2020-05-03T17:47:30.000Z,-4,330.5899963378906,93,1.4279999732971191,60,43.71694293804466724395751953125,-79.356657676398754119873046875
67,2020-05-03T17:47:34.000Z,-4,336.2699890136719,96,1.4179999828338623,0,43.716922067105770111083984375,-79.35691961087286472320556640625
68,2020-05-03T17:47:43.000Z,-3.799999952316284,350.5899963378906,99,2.0250000953674316,97,43.71692441403865814208984375,-79.3569498695433139801025390625
69,2020-05-03T17:47:45.000Z,-3.5999999046325684,355.1000061035156,108,2.322999954223633,97,43.71694226749241352081298828125,-79.3572056852281093597412109375
70,2020-05-03T17:47:46.000Z,-3.5999999046325684,357.489990234375,113,2.3889999389648438,95,43.71698400937020778656005859375,-79.3574008159339427947998046875
71,2020-05-03T17:47:47.000Z,-3.4000000953674316,359.8699951171875,118,2.3889999389648438,95,43.7170141004025936126708984375,-79.35760273598134517669677734375
72,2020-05-03T17:47:48.000Z,-3.200000047683716,362.260009765625,122,2.3889999389648438,95,43.71708677150309085845947265625,-79.357831813395023345947265625
73,2020-05-03T17:47:49.000Z,-3.200000047683716,364.6600036621094,127,2.3980000019073486,95,43.71713169850409030914306640625,-79.35808687470853328704833984375
74,2020-05-03T17:47:50.000Z,-3.200000047683716,367.0899963378906,130,2.4260001182556152,87,43.717134296894073486328125,-79.35811688192188739776611328125
75,2020-05-03T17:47:52.000Z,-3.5999999046325684,371.95001220703125,127,2.434999942779541,85,43.71714703738689422607421875,-79.3583154492080211639404296875
76,2020-05-03T17:47:53.000Z,-3.799999952316284,374.3900146484375,131,2.434999942779541,90,43.717150725424289703369140625,-79.35834688134491443634033203125
77,2020-05-03T17:47:56.000Z,-4.400000095367432,381.95001220703125,128,2.546999931335449,92,43.7171599455177783966064453125,-79.35840454883873462677001953125
78,2020-05-03T17:47:58.000Z,-4.400000095367432,387.0899963378906,133,2.575000047683716,94,43.71717293746769428253173828125,-79.3585719354450702667236328125
79,2020-05-03T17:47:59.000Z,-4.199999809265137,389.6700134277344,139,2.5850000381469727,93,43.71718727052211761474609375,-79.358836971223354339599609375
80,2020-05-03T17:48:00.000Z,-4,392.2699890136719,137,2.6029999256134033,91,43.71729413978755474090576171875,-79.35903553850948810577392578125
81,2020-05-03T17:48:02.000Z,-3.4000000953674316,397.5,142,2.621999979019165,93,43.71742422692477703094482421875,-79.3592334352433681488037109375
82,2020-05-03T17:48:03.000Z,-3,400.1499938964844,144,2.6500000953674316,93,43.7175069563090801239013671875,-79.3593214452266693115234375
83,2020-05-03T17:48:06.000Z,-2.5999999046325684,408.17999267578125,150,2.687000036239624,91,43.71766378171741962432861328125,-79.359494782984256744384765625
84,2020-05-03T17:48:10.000Z,-2.4000000953674316,418.8900146484375,147,2.687000036239624,93,43.7177523784339427947998046875,-79.35959897004067897796630859375
85,2020-05-03T17:48:13.000Z,-2.200000047683716,426.95001220703125,154,2.677999973297119,93,43.71791104786098003387451171875,-79.3597403727471828460693359375
86,2020-05-03T17:48:14.000Z,-2.200000047683716,429.6199951171875,157,2.677999973297119,93,43.71800106950104236602783203125,-79.3598091043531894683837890625
87,2020-05-03T17:48:15.000Z,-2.200000047683716,432.29998779296875,161,2.677999973297119,93,43.71816451661288738250732421875,-79.3597172386944293975830078125
88,2020-05-03T17:48:16.000Z,-2.200000047683716,434.9800109863281,167,2.677999973297119,93,43.71818580664694309234619140625,-79.35966133140027523040771484375
89,2020-05-03T17:48:17.000Z,-2,437.6600036621094,172,2.687000036239624,93,43.7181936018168926239013671875,-79.35958907939493656158447265625
90,2020-05-03T17:48:18.000Z,-2,440.3599853515625,177,2.697000026702881,92,43.71825269423425197601318359375,-79.35944080352783203125
91,2020-05-03T17:48:19.000Z,-1.7999999523162842,443.05999755859375,180,2.697000026702881,92,43.71826191432774066925048828125,-79.3594218604266643524169921875
92,2020-05-03T17:48:23.000Z,-1.7999999523162842,453.7900085449219,175,2.6589999198913574,92,43.71833165176212787628173828125,-79.359329827129840850830078125
93,2020-05-03T17:48:24.000Z,-1.7999999523162842,456.4200134277344,170,2.63100004196167,92,43.71836249716579914093017578125,-79.3592733331024646759033203125
94,2020-05-03T17:48:27.000Z,-1.7999999523162842,464.30999755859375,165,2.63100004196167,92,43.71838814578950405120849609375,-79.35924240387976169586181640625
95,2020-05-03T17:48:28.000Z,-2,466.95001220703125,162,2.63100004196167,92,43.7184789218008518218994140625,-79.35916847549378871917724609375
96,2020-05-03T17:48:29.000Z,-2,469.5799865722656,157,2.63100004196167,92,43.71850213967263698577880859375,-79.359137713909149169921875
97,2020-05-03T17:48:30.000Z,-2,472.20001220703125,152,2.621999979019165,92,43.71857003308832645416259765625,-79.35905280523002147674560546875
98,2020-05-03T17:48:31.000Z,-2,474.82000732421875,147,2.621999979019165,91,43.71860272251069545745849609375,-79.3590396456420421600341796875
99,2020-05-03T17:48:32.000Z,-2,477.45001220703125,142,2.63100004196167,91,43.7186804227530956268310546875,-79.35902145691215991973876953125
100,2020-05-03T17:48:33.000Z,-2.200000047683716,480.0799865722656,138,2.63100004196167,91,43.71879533864557743072509765625,-79.35900251381099224090576171875
101,2020-05-03T17:48:34.000Z,-2.4000000953674316,482.7200012207031,133,2.63100004196167,91,43.718936406075954437255859375,-79.35898558236658573150634765625
102,2020-05-03T17:48:36.000Z,-2.5999999046325684,487.95001220703125,130,2.61299991607666,91,43.7190388329327106475830078125,-79.35895825736224651336669921875
103,2020-05-03T17:48:37.000Z,-2.5999999046325684,490.55999755859375,134,2.61299991607666,91,43.7190485559403896331787109375,-79.358944259583950042724609375
104,2020-05-03T17:48:40.000Z,-2.4000000953674316,498.45001220703125,128,2.6410000324249268,92,43.71912307105958461761474609375,-79.35885499231517314910888671875
105,2020-05-03T17:48:41.000Z,-2.4000000953674316,501.1000061035156,124,2.6500000953674316,92,43.71921502053737640380859375,-79.35877905227243900299072265625
106,2020-05-03T17:48:42.000Z,-2.5999999046325684,503.75,128,2.6500000953674316,92,43.71927964501082897186279296875,-79.35871786437928676605224609375
107,2020-05-03T17:48:43.000Z,-2.799999952316284,506.4200134277344,131,2.6689999103546143,92,43.719286434352397918701171875,-79.35870026238262653350830078125
108,2020-05-03T17:48:44.000Z,-3.200000047683716,509.0899963378906,131,2.6689999103546143,92,43.71928702108561992645263671875,-79.3586788885295391082763671875
109,2020-05-03T17:48:46.000Z,-3.799999952316284,514.4299926757812,136,2.6689999103546143,93,43.7193415872752666473388671875,-79.35859481804072856903076171875
110,2020-05-03T17:48:48.000Z,-3.5999999046325684,519.77001953125,139,2.6689999103546143,91,43.7193653918802738189697265625,-79.358560033142566680908203125
111,2020-05-03T17:48:51.000Z,-2.799999952316284,527.77001953125,142,2.6689999103546143,92,43.7193724326789379119873046875,-79.3585357256233692169189453125
112,2020-05-03T17:48:55.000Z,-2.799999952316284,538.469970703125,139,2.677999973297119,94,43.719376958906650543212890625,-79.35852088965475559234619140625
113,2020-05-03T17:49:00.000Z,-3.200000047683716,551.8599853515625,142,2.6500000953674316,89,43.71939430944621562957763671875,-79.3584569357335567474365234375
114,2020-05-03T17:49:25.000Z,-3,562.22998046875,145,2.546999931335449,90,43.7193989194929599761962890625,-79.358364902436733245849609375
115,2020-05-03T17:49:28.000Z,-2.5999999046325684,569.72998046875,146,2.490999937057495,89,43.71940470300614833831787109375,-79.3583426065742969512939453125
116,2020-05-03T17:49:32.000Z,-2.5999999046325684,577.72998046875,143,2.490999937057495,89,43.71942012570798397064208984375,-79.35829189606010913848876953125
117,2020-05-03T17:49:34.000Z,-2,583.010009765625,141,2.4730000495910645,88,43.71941358782351016998291015625,-79.35826540924608707427978515625
118,2020-05-03T17:49:43.000Z,-1.600000023841858,603.5499877929688,140,2.490999937057495,92,43.7194240652024745941162109375,-79.35823774896562099456787109375
119,2020-05-03T17:49:47.000Z,-1,610.8200073242188,141,2.3889999389648438,90,43.71944007463753223419189453125,-79.3580988608300685882568359375
120,2020-05-03T17:49:50.000Z,-0.800000011920929,616.97998046875,142,2.369999885559082,90,43.71937461197376251220703125,-79.3580098450183868408203125
121,2020-05-03T17:49:54.000Z,-0.4000000059604645,628.3699951171875,145,2.378999948501587,91,43.71937603689730167388916015625,-79.3579924106597900390625
122,2020-05-03T17:50:00.000Z,-0.6000000238418579,650.3400268554688,147,3.181999921798706,84,43.719371259212493896484375,-79.35795418918132781982421875
123,2020-05-03T17:50:05.000Z,-0.800000011920929,662.72998046875,148,2.556999921798706,94,43.71926120482385158538818359375,-79.35786508955061435699462890625
124,2020-05-03T17:50:13.000Z,-0.20000000298023224,683.0900268554688,149,2.4539999961853027,90,43.719084598124027252197265625,-79.35779401101171970367431640625
125,2020-05-03T17:50:20.000Z,-1.399999976158142,704.6699829101562,148,2.546999931335449,92,43.719054758548736572265625,-79.3577639199793338775634765625
126,2020-05-03T17:50:28.000Z,-0.20000000298023224,725.260009765625,147,2.565999984741211,90,43.71887412853538990020751953125,-79.35763106681406497955322265625
127,2020-05-03T17:50:30.000Z,0.20000000298023224,730.1099853515625,148,2.556999921798706,91,43.71884060092270374298095703125,-79.35755361802875995635986328125
128,2020-05-03T17:50:38.000Z,-0.6000000238418579,751.9000244140625,147,2.6029999256134033,94,43.71881143189966678619384765625,-79.3574762530624866485595703125
129,2020-05-03T17:50:46.000Z,-0.20000000298023224,774.6599731445312,148,2.7249999046325684,94,43.7187317200005054473876953125,-79.3573057651519775390625
130,2020-05-03T17:50:55.000Z,-0.4000000059604645,797.239990234375,147,2.697000026702881,94,43.71863440610468387603759765625,-79.35707844793796539306640625
131,2020-05-03T17:50:58.000Z,-0.4000000059604645,803.8800048828125,147,2.677999973297119,95,43.71856852434575557708740234375,-79.356844425201416015625
132,2020-05-03T17:51:05.000Z,0,818,149,2.6410000324249268,95,43.71852024458348751068115234375,-79.3567057885229587554931640625
133,2020-05-03T17:51:07.000Z,-0.4000000059604645,820.280029296875,148,2.621999979019165,95,43.71849459595978260040283203125,-79.35663009993731975555419921875
134,2020-05-03T17:51:09.000Z,-0.4000000059604645,820.280029296875,148,2.6029999256134033,95,43.7185101024806499481201171875,-79.35651442967355251312255859375
135,2020-05-03T17:51:13.000Z,-0.20000000298023224,824.2100219726562,149,2.4260001182556152,92,43.718527369201183319091796875,-79.3562350608408451080322265625
136,2020-05-03T17:51:21.000Z,-0.6000000238418579,831.5900268554688,149,2.305000066757202,93,43.7185231782495975494384765625,-79.35612467117607593536376953125
137,2020-05-03T17:51:24.000Z,-0.6000000238418579,832.72998046875,149,2.322999954223633,94,43.71855276636779308319091796875,-79.35608443804085254669189453125
138,2020-05-03T17:51:31.000Z,-1,849.4600219726562,146,2.3980000019073486,94,43.71862267144024372100830078125,-79.35598754324018955230712890625
139,2020-05-03T17:51:33.000Z,-1.399999976158142,853.72998046875,146,2.4170000553131104,93,43.71873716823756694793701171875,-79.35574279166758060455322265625
140,2020-05-03T17:51:37.000Z,-1.2000000476837158,866.5999755859375,148,2.3980000019073486,93,43.71872015297412872314453125,-79.3555983714759349822998046875
141,2020-05-03T17:51:42.000Z,-1.2000000476837158,866.9199829101562,146,2.13700008392334,94,43.71874689124524593353271484375,-79.35552544891834259033203125
142,2020-05-03T17:51:45.000Z,-1.399999976158142,869.7999877929688,145,2.3980000019073486,94,43.7188705243170261383056640625,-79.35533476062119007110595703125
143,2020-05-03T17:51:48.000Z,-1.600000023841858,869.9500122070312,142,2.5940001010894775,96,43.718934394419193267822265625,-79.355146586894989013671875
144,2020-05-03T17:51:49.000Z,-1.7999999523162842,869.9500122070312,137,2.071000099182129,96,43.7189488112926483154296875,-79.3551330082118511199951171875
145,2020-05-03T17:51:51.000Z,-1.7999999523162842,869.9500122070312,134,1.7910000085830688,91,43.718988038599491119384765625,-79.35508699156343936920166015625
146,2020-05-03T17:51:54.000Z,-1.600000023841858,871.2899780273438,132,1.9869999885559082,93,43.71900103054940700531005859375,-79.35506008565425872802734375
147,2020-05-03T17:51:58.000Z,-1.600000023841858,881.9199829101562,132,2.2769999504089355,92,43.7190123461186885833740234375,-79.355039298534393310546875
148,2020-05-03T17:52:05.000Z,-2,902.3300170898438,131,2.2860000133514404,93,43.719014190137386322021484375,-79.35495941899716854095458984375
149,2020-05-03T17:52:06.000Z,-2,903.780029296875,131,2.127000093460083,93,43.71902751736342906951904296875,-79.354867972433567047119140625
150,2020-05-03T17:52:12.000Z,-1.600000023841858,918.3300170898438,132,1.8940000534057617,93,43.71908719651401042938232421875,-79.35477032326161861419677734375
151,2020-05-03T17:52:15.000Z,-1.7999999523162842,923.510009765625,130,1.5210000276565552,93,43.7192205525934696197509765625,-79.35475272126495838165283203125
152,2020-05-03T17:52:17.000Z,-1.7999999523162842,926.4500122070312,131,1.343999981880188,93,43.71930931694805622100830078125,-79.354791529476642608642578125
153,2020-05-03T17:52:19.000Z,-2.200000047683716,929.219970703125,131,1.343999981880188,94,43.71933278627693653106689453125,-79.35480938293039798736572265625
154,2020-05-03T17:52:21.000Z,-2.4000000953674316,932.280029296875,131,1.277999997138977,93,43.71937368996441364288330078125,-79.354870654642581939697265625
155,2020-05-03T17:52:23.000Z,-2.5999999046325684,936.8099975585938,131,1.7910000085830688,93,43.7193895317614078521728515625,-79.354885406792163848876953125
156,2020-05-03T17:52:29.000Z,-2.5999999046325684,957.1300048828125,129,2.3610000610351562,91,43.71954535134136676788330078125,-79.354913234710693359375
157,2020-05-03T17:52:35.000Z,-2.799999952316284,978.5,130,2.3889999389648438,94,43.71960134245455265045166015625,-79.35493326745927333831787109375
158,2020-05-03T17:52:42.000Z,-3,998.5700073242188,132,2.3980000019073486,92,43.71964056976139545440673828125,-79.354947768151760101318359375
159,2020-05-03T17:52:43.000Z,-3,1001.27001953125,132,2.3889999389648438,92,43.719660602509975433349609375,-79.354954473674297332763671875
160,2020-05-03T17:52:44.000Z,-3.200000047683716,1005.3200073242188,133,2.3889999389648438,92,43.71976294554769992828369140625,-79.35496478341519832611083984375
161,2020-05-03T17:52:44.000Z,-3.200000047683716,1005.3200073242188,133,2.3889999389648438,92,43.71978758834302425384521484375,-79.35496059246361255645751953125
162,2020-05-03T17:52:49.000Z,-3.5999999046325684,1019.4600219726562,135,2.546999931335449,95,43.7199169211089611053466796875,-79.35500384308397769927978515625
163,2020-05-03T17:52:55.000Z,-3.200000047683716,1035.68994140625,138,2.565999984741211,94,43.72009654529392719268798828125,-79.354961849749088287353515625
164,2020-05-03T17:52:59.000Z,-2.799999952316284,1046.0999755859375,139,2.4630000591278076,93,43.7202431447803974151611328125,-79.35485330410301685333251953125
165,2020-05-03T17:53:07.000Z,-2.799999952316284,1068.469970703125,139,2.500999927520752,88,43.72036828659474849700927734375,-79.3546544015407562255859375
166,2020-05-03T17:53:15.000Z,-3.4000000953674316,1089.989990234375,138,2.546999931335449,93,43.7204030714929103851318359375,-79.354512579739093780517578125
167,2020-05-03T17:53:18.000Z,-3.799999952316284,1096.93994140625,138,2.5290000438690186,93,43.72047297656536102294921875,-79.35443580150604248046875
