I,time,atemp,cad,hr,lat,lon
54,2020-05-21T01:12:47.000Z,22.0,94,129,43.7188215740025043487548828125,-79.3589808046817779541015625
55,2020-05-21T01:12:51.000Z,22.0,94,132,43.7188440375030040740966796875,-79.358967728912830352783203125
56,2020-05-21T01:12:53.000Z,22.0,94,132,43.71892668306827545166015625,-79.358916766941547393798828125
57,2020-05-21T01:12:56.000Z,22.0,92,128,43.7189731188118457794189453125,-79.35888567008078098297119140625
58,2020-05-21T01:12:58.000Z,22.0,92,127,43.71906657703220844268798828125,-79.35881844721734523773193359375
59,2020-05-21T01:13:02.000Z,22.0,93,129,43.71907931752502918243408203125,-79.35879179276525974273681640625
60,2020-05-21T01:13:03.000Z,22.0,93,130,43.719180487096309661865234375,-79.35864561237394809722900390625
61,2020-05-21T01:13:10.000Z,22.0,96,128,43.71922365389764308929443359375,-79.35852943919599056243896484375
62,2020-05-21T01:13:15.000Z,22.0,102,132,43.71923957951366901397705078125,-79.3585089035332202911376953125
63,2020-05-21T01:13:16.000Z,22.0,102,131,43.7192872725427150726318359375,-79.3584146909415721893310546875
64,2020-05-21T01:13:20.000Z,22.0,97,130,43.71930143795907497406005859375,-79.35832072980701923370361328125
65,2020-05-21T01:13:25.000Z,22.0,92,129,43.7193633802235126495361328125,-79.358206652104854583740234375
66,2020-05-21T01:13:27.000Z,22.0,91,129,43.71935851871967315673828125,-79.3581085838377475738525390625
67,2020-05-21T01:13:30.000Z,22.0,91,130,43.71939766220748424530029296875,-79.35805745422840118408203125
68,2020-05-21T01:13:34.000Z,22.0,91,129,43.719394393265247344970703125,-79.35797908343374729156494140625
69,2020-05-21T01:13:38.000Z,22.0,96,130,43.7193657271564006805419921875,-79.357938431203365325927734375
70,2020-05-21T01:13:41.000Z,22.0,94,131,43.7193352170288562774658203125,-79.3579033948481082916259765625
71,2020-05-21T01:13:43.000Z,22.0,92,131,43.7193184532225131988525390625,-79.35789694078266620635986328125
72,2020-05-21T01:13:44.000Z,22.0,92,131,43.7191957421600818634033203125,-79.35784933157265186309814453125
